Location,Station,Log2 Body mass (g) ,del15N,del15Nbaseline,TLbaseline,TLscaled,TLconstant,Reference and data source,
Puget Sound,1,2,13.581,9,2.5,3.890305972,3.847261765,Reum et al. In press,
Puget Sound,1,3,13.410,9,2.5,3.826011048,3.797091176,Reum et al. In press,REFERENCES
Puget Sound,1,4,13.658,9,2.5,3.919829661,3.869961765,Reum et al. In press,"Al-Habsi, S.H., Sweeting, C.J., Polunin, N.V.C. & Graham, N.A.J. (2008) _15N and _13C elucidation of size-structured food webs in a Western Arabian Sea demersal trawl assemblage. Marine Ecology Progress Series, 353, 55-63."
Puget Sound,1,5,13.764,9,2.5,3.960756255,3.901082353,Reum et al. In press,"Reum, .C.P., Jennings, S., Hunsicker, M.E., (In Press) Implications of scaled  _15N fractionation for community predator-prey body mass ratio estimates in size-structured food webs. Journal of Animal Ecology"
Puget Sound,1,6,14.058,9,2.5,4.077640155,3.987785294,Reum et al. In press,"Jennings, S., Warr, K.J. & Mackinson, S. (2002) Use of size-based production and stable isotope analyses to predict trophic transfer efficiencies and predator-prey body mass ratios in food webs. Marine Ecology-Progress Series, 240, 11-20."
Puget Sound,1,7,14.379,9,2.5,4.209613659,4.081923529,Reum et al. In press,"Jennings, S. & Warr, K.J. (2003) Smaller predator-prey body size ratios in longer food chains. Proceedings of the Royal Society of London Series B-Biological Sciences, 270, 1413-1417."
Puget Sound,1,8,14.838,9,2.5,4.409094863,4.216997059,Reum et al. In press,
Puget Sound,1,9,15.414,9,2.5,4.678512648,4.386473529,Reum et al. In press,
Puget Sound,1,10,15.558,9,2.5,4.749751327,4.428935294,Reum et al. In press,DATA COMMENTS
Western Arabian Sea,1,0.5,14.075,15.01,3.4,2.997266575,3.125138735,Al-Habsi et al. 2008,"All del15N values are raw except for those for the Western Arabian Sea, which were obtained from Fig. 2of  Al-Habsi et al. (2008) using image analysis software. "
Western Arabian Sea,1,1.5,14.660,15.01,3.4,3.243294372,3.297169812,Al-Habsi et al. 2008,TLscaled and TLconstant correspond to trophic level calculated based on scaled and constant del15N trophic fractionation assumptions. Please see Reum et al. (In Press) for details of calculations.
Western Arabian Sea,1,2.5,14.811,15.01,3.4,3.310003451,3.341564926,Al-Habsi et al. 2008,
Western Arabian Sea,1,3.5,15.283,15.01,3.4,3.527981585,3.480299668,Al-Habsi et al. 2008,
Western Arabian Sea,1,4.5,15.717,15.01,3.4,3.742650823,3.607935626,Al-Habsi et al. 2008,
Western Arabian Sea,1,5.5,15.660,15.01,3.4,3.713814237,3.591287459,Al-Habsi et al. 2008,
Western Arabian Sea,1,6.5,16.075,15.01,3.4,3.931623264,3.713374029,Al-Habsi et al. 2008,
Western Arabian Sea,1,7.5,16.472,15.01,3.4,4.15445725,3.829911209,Al-Habsi et al. 2008,
Western Arabian Sea,1,8.5,16.660,15.01,3.4,4.266324174,3.885405106,Al-Habsi et al. 2008,
Western Arabian Sea,1,9.5,16.755,15.01,3.4,4.32377004,3.913152053,Al-Habsi et al. 2008,
Western Arabian Sea,1,10.5,16.736,15.01,3.4,4.312197484,3.907602665,Al-Habsi et al. 2008,
Western Arabian Sea,1,11.5,16.509,15.01,3.4,4.176517784,3.841009988,Al-Habsi et al. 2008,
Western Arabian Sea,1,12.5,16.245,15.01,3.4,4.025216795,3.763318535,Al-Habsi et al. 2008,
Western Arabian Sea,1,13.5,18.057,15.01,3.4,5.245337436,4.296059932,Al-Habsi et al. 2008,
Western Arabian Sea,1,14.5,18.962,15.01,3.4,6.09263532,4.562430632,Al-Habsi et al. 2008,
Central North Sea,1,1.5,10.18,7.173,2.5,3.218977901,3.378655238,Jennings et al. 2002,
Central North Sea,1,2.5,11.615,7.173,2.5,3.631713362,3.800171438,Jennings et al. 2002,
Central North Sea,1,3.5,11.883,7.173,2.5,3.718401973,3.881958162,Jennings et al. 2002,
Central North Sea,1,4.5,11.911,7.173,2.5,3.725169327,3.88824945,Jennings et al. 2002,
Central North Sea,1,5.5,12.624,7.173,2.5,3.949705007,4.089570621,Jennings et al. 2002,
Central North Sea,1,6.5,13.451,7.173,2.5,4.230791085,4.322348224,Jennings et al. 2002,
Central North Sea,1,7.5,13.55,7.173,2.5,4.262723264,4.347513368,Jennings et al. 2002,
Central North Sea,1,8.5,14.114,7.173,2.5,4.5130268,4.536251965,Jennings et al. 2002,
Central North Sea,1,9.5,14.438,7.173,2.5,4.627930887,4.618038691,Jennings et al. 2002,
Central North Sea,1,10.5,15.369,7.173,2.5,5.050896558,4.8948553,Jennings et al. 2002,
North Sea,1,5.5,15.01,8.221,2.5,4.673197067,4.496764706,Jennings and Warr 2003,
North Sea,1,6.5,15.771,8.221,2.5,5.043613821,4.720588235,Jennings and Warr 2003,
North Sea,1,7.5,15.754,8.221,2.5,5.034849557,4.715588235,Jennings and Warr 2003,
North Sea,1,8.5,15.03,8.221,2.5,4.682399376,4.502647059,Jennings and Warr 2003,
North Sea,1,9.5,16.605,8.221,2.5,5.506278006,4.965882353,Jennings and Warr 2003,
North Sea,1,11.5,15.265,8.221,2.5,4.792571302,4.571764706,Jennings and Warr 2003,
North Sea,1,12.5,14.733,8.221,2.5,4.548412082,4.415294118,Jennings and Warr 2003,
North Sea,2,5.5,13.635,8.33,2.5,4.071628986,4.060294118,Jennings and Warr 2003,
North Sea,2,6.5,13.571,8.33,2.5,4.047194989,4.041470588,Jennings and Warr 2003,
North Sea,2,7.5,15.742,8.33,2.5,5.003304586,4.68,Jennings and Warr 2003,
North Sea,2,8.5,15.183,8.33,2.5,4.728319975,4.515588235,Jennings and Warr 2003,
North Sea,2,9.5,14.108,8.33,2.5,4.258284076,4.199411765,Jennings and Warr 2003,
North Sea,3,5.5,15.106,10.689,2.5,4.086716407,3.799117647,Jennings and Warr 2003,
North Sea,3,6.5,14.24,10.689,2.5,3.706868417,3.544411765,Jennings and Warr 2003,
North Sea,3,7.5,14.563,10.689,2.5,3.843290376,3.639411765,Jennings and Warr 2003,
North Sea,3,8.5,16.723,10.689,2.5,4.94664086,4.274705882,Jennings and Warr 2003,
North Sea,3,9.5,13.11,10.689,2.5,3.271011053,3.212058824,Jennings and Warr 2003,
North Sea,4,5.5,14.629,8.589,2.5,4.416310231,4.276470588,Jennings and Warr 2003,
North Sea,4,6.5,16.035,8.589,2.5,5.096426715,4.69,Jennings and Warr 2003,
North Sea,4,7.5,15.951,8.589,2.5,5.051437745,4.665294118,Jennings and Warr 2003,
North Sea,4,8.5,16.049,8.589,2.5,5.103987196,4.694117647,Jennings and Warr 2003,
North Sea,4,10.5,14.46,8.589,2.5,4.34355674,4.226764706,Jennings and Warr 2003,
North Sea,5,5.5,13.663,8.844,2.5,3.959920996,3.917352941,Jennings and Warr 2003,
North Sea,5,6.5,12.642,8.844,2.5,3.589721508,3.617058824,Jennings and Warr 2003,
North Sea,5,7.5,15.451,8.844,2.5,4.734732755,4.443235294,Jennings and Warr 2003,
North Sea,5,8.5,12.947,8.844,2.5,3.695864188,3.706764706,Jennings and Warr 2003,
North Sea,5,9.5,15.723,8.844,2.5,4.871099447,4.523235294,Jennings and Warr 2003,
North Sea,6,5.5,14.333,10.637,2.5,3.760221427,3.587058824,Jennings and Warr 2003,
North Sea,6,6.5,14.561,10.637,2.5,3.857097758,3.654117647,Jennings and Warr 2003,
North Sea,6,7.5,15.495,10.637,2.5,4.288002854,3.928823529,Jennings and Warr 2003,
North Sea,6,8.5,14.825,10.637,2.5,3.973089364,3.731764706,Jennings and Warr 2003,
North Sea,6,9.5,14.374,10.637,2.5,3.777425779,3.599117647,Jennings and Warr 2003,
North Sea,7,5.5,13.099,7.892,2.5,3.973323908,4.031470588,Jennings and Warr 2003,
North Sea,7,6.5,13.742,7.892,2.5,4.21365519,4.220588235,Jennings and Warr 2003,
North Sea,7,7.5,12.795,7.892,2.5,3.865732122,3.942058824,Jennings and Warr 2003,
