"","sp","type","rcp","timeF","sp2","type2","rcp2","timeF2","noCapRB","noCapRBsd","CapRB","CapRBsd","deltaRB","noCapRC","noCapRCsd","CapRC","CapRCsd","deltaRC","sp","type","rcp","timeF","sp2","type2","rcp2","timeF2","noCapRB","noCapRBsd","CapRB","CapRBsd","deltaRB","noCapRC","noCapRCsd","CapRC","CapRCsd","deltaRC","sp","type","rcp","timeF","sp2","type2","rcp2","timeF2","noCapRB","noCapRBsd","CapRB","CapRBsd","deltaRB","noCapRC","noCapRCsd","CapRC","CapRCsd","deltaRC"
"1",1,"10% decline","rcp45","(2017,2025]",1,"10% decline","rcp45","(2017,2025]",29.17,14.8,20.83,20.5,-8.34,29.17,11.4,0,0,-29.17,1,"50% decline","rcp45","(2017,2025]",1,"50% decline","rcp45","(2017,2025]",0,0,0,0,0,0,0,0,0,0,1,"80% decline","rcp45","(2017,2025]",1,"80% decline","rcp45","(2017,2025]",0,0,0,0,0,0,0,0,0,0
"2",1,"10% decline","rcp45","(2025,2050]",1,"10% decline","rcp45","(2025,2050]",81.33,8.1,81.33,11.8,0,78.67,6.7,41.33,11.7,-37.34,1,"50% decline","rcp45","(2025,2050]",1,"50% decline","rcp45","(2025,2050]",44,6.2,38.67,8.6,-5.33,41.33,6.2,21.33,7.6,-20,1,"80% decline","rcp45","(2025,2050]",1,"80% decline","rcp45","(2025,2050]",21.33,11.7,21.33,7.7,0,20,10.1,20,9.4,0
"3",1,"10% decline","rcp45","(2050,2075]",1,"10% decline","rcp45","(2050,2075]",94.67,5.1,92,5.2,-2.67,90.67,4.3,66.67,10.8,-24,1,"50% decline","rcp45","(2050,2075]",1,"50% decline","rcp45","(2050,2075]",64,5.4,66.67,12.2,2.67,65.33,5.1,61.33,11.1,-4,1,"80% decline","rcp45","(2050,2075]",1,"80% decline","rcp45","(2050,2075]",25.33,3.9,60,9.1,34.67,28,4.2,25.33,3.6,-2.67
"4",1,"10% decline","rcp45","(2075,2100]",1,"10% decline","rcp45","(2075,2100]",91.67,0.4,90.28,0,-1.39,91.67,0.5,68.06,1.7,-23.61,1,"50% decline","rcp45","(2075,2100]",1,"50% decline","rcp45","(2075,2100]",66.67,2.7,66.67,1.1,0,68.06,3.1,66.67,5.1,-1.39,1,"80% decline","rcp45","(2075,2100]",1,"80% decline","rcp45","(2075,2100]",59.72,8.8,66.67,6,6.95,58.33,8.3,59.72,9.2,1.38999999999999
"5",2,"10% decline","rcp45","(2017,2025]",2,"10% decline","rcp45","(2017,2025]",12.5,12.3,12.5,10.7,0,12.5,6.7,12.5,11.8,0,2,"50% decline","rcp45","(2017,2025]",2,"50% decline","rcp45","(2017,2025]",0,0,0,0,0,0,0,0,0,0,2,"80% decline","rcp45","(2017,2025]",2,"80% decline","rcp45","(2017,2025]",0,0,0,0,0,0,0,0,0,0
"6",2,"10% decline","rcp45","(2025,2050]",2,"10% decline","rcp45","(2025,2050]",60,7.3,58.67,7.5,-1.33,58.67,6.9,57.33,6.8,-1.34,2,"50% decline","rcp45","(2025,2050]",2,"50% decline","rcp45","(2025,2050]",21.33,9.2,20,9.5,-1.33,18.67,7.9,18.67,9.2,0,2,"80% decline","rcp45","(2025,2050]",2,"80% decline","rcp45","(2025,2050]",6.67,16.6,0,0,-6.67,5.33,20.8,2.67,0,-2.66
"7",2,"10% decline","rcp45","(2050,2075]",2,"10% decline","rcp45","(2050,2075]",69.33,5.9,69.33,6.7,0,73.33,5.1,73.33,6.8,0,2,"50% decline","rcp45","(2050,2075]",2,"50% decline","rcp45","(2050,2075]",49.33,7.6,45.33,7.4,-4,50.67,7.1,46.67,6.9,-4,2,"80% decline","rcp45","(2050,2075]",2,"80% decline","rcp45","(2050,2075]",25.33,8.2,4,1.5,-21.33,25.33,8,10.67,4,-14.66
"8",2,"10% decline","rcp45","(2075,2100]",2,"10% decline","rcp45","(2075,2100]",73.61,2.8,73.61,2.8,0,72.22,3.4,72.22,3.3,0,2,"50% decline","rcp45","(2075,2100]",2,"50% decline","rcp45","(2075,2100]",66.67,11.7,63.89,10.9,-2.78,63.89,9.7,62.5,9,-1.39,2,"80% decline","rcp45","(2075,2100]",2,"80% decline","rcp45","(2075,2100]",43.06,9.6,33.33,5.5,-9.73,40.28,7.7,33.33,4.9,-6.95
"9",3,"10% decline","rcp45","(2017,2025]",3,"10% decline","rcp45","(2017,2025]",25,6.3,33.33,5.7,8.33,33.33,3.9,16.67,6.2,-16.66,3,"50% decline","rcp45","(2017,2025]",3,"50% decline","rcp45","(2017,2025]",0,0,0,0,0,0,0,0,0,0,3,"80% decline","rcp45","(2017,2025]",3,"80% decline","rcp45","(2017,2025]",0,0,0,0,0,0,0,0,0,0
"10",3,"10% decline","rcp45","(2025,2050]",3,"10% decline","rcp45","(2025,2050]",57.33,12.5,49.33,9.5,-8.00000000000001,61.33,11.2,5.33,1.6,-56,3,"50% decline","rcp45","(2025,2050]",3,"50% decline","rcp45","(2025,2050]",0,0,0,0,0,0,0,0,0,0,3,"80% decline","rcp45","(2025,2050]",3,"80% decline","rcp45","(2025,2050]",0,0,0,0,0,0,0,0,0,0
