## N and stdeviations input for numbers at age NOTE: NOT UPDATED from 2006 assessment
22124 3774.6  1498  2058.6  2377.4  3264  1138.4  380.85  173.09  201.46  89.098  28.967  28.318  74.44 42.734
9258.1  1375.7  476.05  550.29  525.29  659.88  229.47  76.439  35.103  39.844  18.978  6.6658  6.7894  18.121  12.403
## Corrrelation input for numbers at age NOTE: NOT UPDATED from 2006 assessment
1 0.3351  0.2803  0.2126  0.2005  0.178 0.1343  0.098 0.0736  0.0584  0.0489  0.0426  0.0428  0.044 0.0473
0.3351  1 0.3537  0.3333  0.2948  0.2433  0.1682  0.1155  0.0891  0.0746  0.0651  0.0591  0.0605  0.0633  0.0678
0.2803  0.3537  1 0.3947  0.3904  0.3441  0.265 0.1927  0.1425  0.1087  0.0842  0.0681  0.0666  0.0685  0.0723
0.2126  0.3333  0.3947  1 0.5771  0.5172  0.3998  0.2857  0.2061  0.151 0.1098  0.0832  0.0779  0.0774  0.0785
0.2005  0.2948  0.3904  0.5771  1 0.8084  0.6534  0.4895  0.365 0.2736  0.1994  0.1513  0.141 0.1393  0.1363
0.178 0.2433  0.3441  0.5172  0.8084  1 0.8475  0.6709  0.5205  0.404 0.2977  0.2265  0.205 0.1967  0.1864
0.1343  0.1682  0.265 0.3998  0.6534  0.8475  1 0.7987  0.6057  0.4862  0.3657  0.2803  0.2501  0.2371  0.2246
0.098 0.1155  0.1927  0.2857  0.4895  0.6709  0.7987  1 0.7802  0.6272  0.4737  0.3698  0.3283  0.3131  0.302
0.0736  0.0891  0.1425  0.2061  0.365 0.5205  0.6057  0.7802  1 0.8027  0.6306  0.4837  0.4321  0.414 0.3994
0.0584  0.0746  0.1087  0.151 0.2736  0.404 0.4862  0.6272  0.8027  1 0.8323  0.6656  0.5674  0.544 0.5245
0.0489  0.0651  0.0842  0.1098  0.1994  0.2977  0.3657  0.4737  0.6306  0.8323  1 0.8158  0.7046  0.6458  0.6049
0.0426  0.0591  0.0681  0.0832  0.1513  0.2265  0.2803  0.3698  0.4837  0.6656  0.8158  1 0.8142  0.7672  0.6818
0.0428  0.0605  0.0666  0.0779  0.141 0.205 0.2501  0.3283  0.4321  0.5674  0.7046  0.8142  1 0.8866  0.7848
0.044 0.0633  0.0685  0.0774  0.1393  0.1967  0.2371  0.3131  0.414 0.544 0.6458  0.7672  0.8866  1 0.9073
0.0473  0.0678  0.0723  0.0785  0.1363  0.1864  0.2246  0.302 0.3994  0.5245  0.6049  0.6818  0.7848  0.9073  1
