"","LL","npar","lab","R2","names","aicc_marg","aicc","deltaAIC","AICweight","rank","AICw_std","cumlAIC","topSet","deltaAIC_marg","AICweight_marg","rank_marg","AICw_std_marg","cumlAIC_marg","topSet_marg"
"RS1_10_LM",-49.2812,3,34,0.124762015200672,"RS1_10_LM",-83.3354144951523,105.248114285714,0,1,1,0.0441876625563947,0.0441876625563947,"**o",33.9085287054844,4.3336770774389e-08,14,4.3336164737155e-08,4.3336164737155e-08,"**o"
"RS1_1_6_10_LM",-46.7323,5,70,0.232873993066394,"RS1_1_6_10_LM",-65.0397573212852,105.282781818182,0.0346675324675374,0.982815599224997,2,0.043428324053715,0.0876159866101097,"**o",52.2041858793516,4.6132296024602e-12,79,4.61316508937217e-12,4.33407779022444e-08,"o"
"RS1_10",-48.2928,4,32,0.144725389776066,"RS1_10",-74.2964552620446,105.762070588235,0.513956302521009,0.773385111070677,3,0.0341740803141309,0.121790066924241,"**o",42.9474879385921,4.72140752996637e-10,40,4.72134150407868e-10,4.38129120526523e-08,"o"
"RS1_5_LM",-49.6076,3,19,0.0656067063699735,"RS1_5_LM",-83.9736123342276,105.900914285714,0.652799999999999,0.72151652309346,4,0.031882128651317,0.153672195575558,"**o",33.2703308664091,5.96265177458677e-08,13,5.96256839068612e-08,1.03438595959513e-07,"o"
"RS1_1_6_10_BLM",-45.7329,6,69,0.220939486713295,"RS1_1_6_10_BLM",-58.2699455358919,106.0908,0.842685714285722,0.656165091949654,5,0.028994401664357,0.182666597239915,"**o",58.9739976647448,1.56300050814834e-13,117,1.56297865057825e-13,1.03438752257379e-07,"o"
"RS1_5_BLM",-48.6608,4,18,0.0735747688868075,"RS1_5_BLM",-77.6840513515525,106.498070588235,1.24995630252101,0.535273123434262,6,0.0236524681538206,0.206319065393735,"**o",39.5598918490842,2.56849445584511e-09,34,2.56845853708033e-09,1.06007210794459e-07,"o"
"RS1_1_3_10_LM",-47.3435,5,109,0.218518737038934,"RS1_1_3_10_LM",-66.582777249758,106.505181818182,1.25706753246753,0.533373277863026,7,0.0235685184188095,0.229887583812545,"**o",50.6611659508788,9.9785535054917e-12,70,9.97841396175419e-12,1.06017189208421e-07,"o"
"RS1_1_8_10_LM",-47.3492,5,94,0.220473550576033,"RS1_1_8_10_LM",-66.1933818120302,106.516581818182,1.26846753246754,0.530341698388703,8,0.0234345600079853,0.25332214382053,"**o",51.0505613886065,8.21318197636657e-12,71,8.21306712022943e-12,1.06025402275541e-07,"o"
"RS1_10_BLM",-48.679,4,33,0.119690546125006,"RS1_10_BLM",-77.7925122697877,106.534470588235,1.28635630252101,0.525619269138933,9,0.02322588689785,0.27654803071838,"**o",39.4514309308491,2.71163119699425e-09,33,2.711593276553e-09,1.08736995552094e-07,"o"
"RS1_1_6_10",-45.9583,6,68,0.219159221629017,"RS1_1_6_10",-56.1371808760655,106.5416,1.29348571428572,0.523748926629384,10,0.0231432408341731,0.299691271552553,"**o",61.1067623245712,5.38065513804621e-14,126,5.38057989299914e-14,1.08737049357893e-07,"o"
"RS1_5",-48.8156,4,17,0.0701882035898907,"RS1_5",-75.2982864182309,106.807670588235,1.55955630252102,0.458507719382494,11,0.0202603843835758,0.319951655936129,"**o",41.9456567824058,7.7914154068505e-10,39,7.79130644885115e-10,1.09516180002778e-07,"o"
"RS1_1_LM",-50.1092,3,7,0.106750121705443,"RS1_1_LM",-85.0531884443729,106.904114285714,1.65600000000001,0.43692225757444,12,0.0193065732810775,0.339258229217206,"**o",32.1907547562638,1.02297829816183e-07,12,1.0229639924596e-07,2.11812579248738e-07,"o"
"RS1_1_3_10_BLM",-46.2389,6,108,0.212785304505158,"RS1_1_3_10_BLM",-59.7755819845795,107.1028,1.85468571428572,0.395603490034483,13,0.0174807935237758,0.356739022740982,"**o",57.4683612160572,3.31821039814971e-13,110,3.31816399508332e-13,2.11812911065137e-07,"o"
"RS1_4_BLM",-49.0473,4,15,0.0965392790022614,"RS1_4_BLM",-78.4009362632064,107.271070588235,2.02295630252101,0.363681006528489,14,0.0160702135946508,0.372809236335633,"**o",38.8430069374304,3.67576902115712e-09,31,3.67571761786032e-09,2.15488628682997e-07,"o"
"RS1_6_LM",-50.3559,3,22,0.034782703865312,"RS1_6_LM",-85.6378701376905,107.397514285714,2.1494,0.341400159987519,15,0.0150856750662277,0.387894911401861,"*o",31.6060730629463,1.37034032237668e-07,11,1.37032115903701e-07,3.52520744586698e-07,"o"
"RS1_1_8_10_BLM",-46.4237,6,93,0.216392821736474,"RS1_1_8_10_BLM",-59.7016772012252,107.4724,2.22428571428571,0.32885351940176,16,0.0145312683458078,0.402426179747668,"*o",57.5422659994115,3.1978324125779e-13,111,3.19778769292123e-13,3.52521064365467e-07,"o"
"RS1_3_6_10",-46.4535,6,56,0.176781208971339,"RS1_3_6_10",-57.1128732489239,107.532,2.28388571428572,0.319198262364079,17,0.0141046251059315,0.4165308048536,"*o",60.1310699517128,8.76403421758872e-14,123,8.76391165813261e-14,3.52521152004584e-07,"o"
"RS1_0_LM",-51.6202,2,4,NA,"RS1_0_LM",-94.3921763500874,107.573733333333,2.32561904761904,0.312606670075266,18,0.0138133580501641,0.430344162903764,"*o",22.8517668505494,1.09094254164655e-05,2,1.09092728550751e-05,1.12617940070797e-05,"o"
"RS1_1_6_LM",-49.2062,4,61,0.127304474543308,"RS1_1_6_LM",-76.9302696217183,107.588870588235,2.34075630252102,0.310249597803613,19,0.0137092045360032,0.444053367439767,"*o",40.3136735789184,1.76196391456231e-09,36,1.76193927461526e-09,1.12635559463543e-05,"o"
"RS1_1_BLM",-49.2429,4,6,0.123420635893001,"RS1_1_BLM",-78.980878355909,107.662270588235,2.41415630252101,0.299069840900458,20,0.0132151972105041,0.457268564650271,"*o",38.2630648447278,4.91225652969786e-09,27,4.91218783490804e-09,1.12684681341893e-05,"o"
